"Report Date/Time: 10/30/2012 03:03 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","","","","Page Number 1"
"","","","","","","","2012 General Election - November 6, 2012","","","","","","",""
"","","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","","",""
"","","","","","","ACTIVE","","","","","","","",""
"","","Precincts","Date/Period","","","","","","","","","","Other","TOTAL"
"","","","","Americans ","","","","Democratic","Green","Libertarian","Republican","Write-In","",""
"","","","","TOTALS","","10","","","","27,426","144","908","52,943","",""
"","","Legislative District 16","","","","","","","","","","","","",""
"","","","","","","8","","","","14,980","70","416","27,729","",""
"","","","Maricopa","","19","","","","","","","","","23,781","66,984"
"","","","","","","6","","","","8,836","39","236","14,829","",""
"","","","Pinal","","21","","","","","","","","","14,591","38,537"
"","","","","","40","","","","","","","","","38,372","105,521"
"","","","","TOTALS","","14","","","","23,816","109","652","42,558","",""
"","","Legislative District 17","","","","","","","","","","","","",""
"","","","","","","19","","","","29,119","125","737","46,378","",""
"","","","Maricopa","","39","","","","","","","","","40,284","116,662"
"","","","","","39","","","","","","","","","40,284","116,662"
"","","","","TOTALS","","19","","","","29,119","125","737","46,378","",""
"","","Legislative District 18","","","","","","","","","","","","",""
"","","","","","","13","","","","37,563","232","1,064","48,668","",""
"","","","Maricopa","","42","","","","","","","","","42,218","129,758"
"","","","","","42","","","","","","","","","42,218","129,758"
"","","","","TOTALS","","13","","","","37,563","232","1,064","48,668","",""
"","","Legislative District 19","","","","","","","","","","","","",""
"","","","","","","3","","","","27,432","51","626","12,787","",""
"","","","Maricopa","","28","","","","","","","","","25,783","66,682"
"","","","","","28","","","","","","","","","25,783","66,682"
"","","","","TOTALS","","3","","","","27,432","51","626","12,787","",""
"","","Legislative District 20","","","","","","","","","","","","",""
"","","","","","","10","","","","30,207","173","850","40,945","",""
"","","","Maricopa","","47","","","","","","","","","34,972","107,157"
"","","","","","47","","","","","","","","","34,972","107,157"
"","","","","TOTALS","","10","","","","30,207","173","850","40,945","",""
"","","Legislative District 21","","","","","","","","","","","","",""
"","","","","","","3","","","","30,758","93","585","41,790","",""
"","","","Maricopa","","42","","","","","","","","","35,690","108,919"
"","","","","","42","","","","","","","","","35,690","108,919"
"","","","","TOTALS","","3","","","","30,758","93","585","41,790","",""
"","","Legislative District 22","","","","","","","","","","","","",""
"","","","","","","6","","","","28,034","83","585","57,790","",""
"","","","Maricopa","","48","","","","","","","","","39,679","126,177"
"","","","","","48","","","","","","","","","39,679","126,177"
"","","","","TOTALS","","6","","","","28,034","83","585","57,790","",""
"","","Legislative District 23","","","","","","","","","","","","",""
"","","","","","","9","","","","30,034","130","811","65,292","",""
"","","","Maricopa","","57","","","","","","","","","45,828","142,104"
"","","","","","57","","","","","","","","","45,828","142,104"
"","","","","TOTALS","","9","","","","30,034","130","811","65,292","",""
"","","Legislative District 24","","","","","","","","","","","","",""
"","","","","","","6","","","","33,347","264","899","20,740","",""
"","","","Maricopa","","40","","","","","","","","","28,456","83,712"
"","","","","","40","","","","","","","","","28,456","83,712"
"","","","","TOTALS","","6","","","","33,347","264","899","20,740","",""
"","","Legislative District 25","","","","","","","","","","","","",""
"","","","","","","15","","","","25,085","146","744","55,488","",""
"","","","Maricopa","","37","","","","","","","","","35,120","116,598"
"","","","","","37","","","","","","","","","35,120","116,598"
"","","","","TOTALS","","15","","","","25,085","146","744","55,488","",""
"","","Legislative District 26","","","","","","","","","","","","",""
"","","","","","","10","","","","25,974","250","919","20,459","",""
"","","","Maricopa","","34","","","","","","","","","30,275","77,887"
"","","","","","34","","","","","","","","","30,275","77,887"
"","","","","TOTALS","","10","","","","25,974","250","919","20,459","",""
"","","Legislative District 27","","","","","","","","","","","","",""
"","","","","","","3","","","","35,301","100","570","10,468","",""
"","","","Maricopa","","35","","","","","","","","","27,068","73,510"
"","","","","","35","","","","","","","","","27,068","73,510"
"","","","","TOTALS","","3","","","","35,301","100","570","10,468","",""
"","","Legislative District 28","","","","","","","","","","","","",""
"","","","","","","9","","","","33,975","168","976","48,589","",""
"","","","Maricopa","","57","","","","","","","","","34,461","118,178"
"","","","","","57","","","","","","","","","34,461","118,178"
"","","","","TOTALS","","9","","","","33,975","168","976","48,589","",""
"Report Date/Time: 10/30/2012 03:03 PM","","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","","","Page Number 5"
"","","","","","","","","","2012 General Election - November 6, 2012","","","","","",""
"","","","","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","","","ACTIVE","","","","","","",""
"","Legislative","","","","Precincts","","","","","","","","","Other","TOTAL"
"","","","","","","Americans ","","","","Democratic","Green","Libertarian","Republican","",""
"","","Legislative District 29","","","","","","","","","","","","",""
"","","","","","","3","","","","25,205","51","789","12,927","",""
"","","","Maricopa","","33","","","","","","","","","23,328","62,303"
"","","","","","33","","","","","","","","","23,328","62,303"
"","","","","TOTALS","","3","","","","25,205","51","789","12,927","",""
"","","Legislative District 30","","","","","","","","","","","","",""
"","","","","","","2","","","","24,494","88","724","14,589","",""
"","","","Maricopa","","29","","","","","","","","","22,447","62,344"
"","","","","","29","","","","","","","","","22,447","62,344"
"","","","","TOTALS","","2","","","","24,494","88","724","14,589","",""
"","","","","STATE TOTALS","","237","","","","952,931","4,863","22,086","1,120,992","",""
"","","","","","1,667","","","","","","","","","1,023,603","3,124,712"
"Report Date/Time: 10/30/2012 03:03 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","","","Page Number 6"
"","","","","","","2012 General Election - November 6, 2012","","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","","",""
"","","","","","INACTIVE","","","","","","","",""
"","","Precincts","Date/Period","","","","","","","","","Other","TOTAL"
"","","","","Americans ","","","Democratic","Green","Libertarian","Republican","Write-In","",""
"","","","","*","","","2,552","7","28","966","*","",""
"","Apache","45","G.E. 2010","","","","","","","","","1,305","4,858"
"","","","","0","","","2,919","14","24","1,077","*","",""
"","","45","P.E. 2012","","","","","","","","","1,476","5,510"
"","","","","0","","","2,636","13","22","978","*","",""
"","","45","G.E. 2012","","","","","","","","","1,347","4,996"
"","","","","*","","","261","3","6","301","*","",""
"","Cochise","64","G.E. 2010","","","","","","","","","325","896"
"","","","","1","","","776","8","16","774","*","",""
"","","49","P.E. 2012","","","","","","","","","1,084","2,659"
"","","","","1","","","723","8","12","694","*","",""
"","","49","G.E. 2012","","","","","","","","","992","2,430"
"","","","","*","","","5,223","112","376","3,423","*","",""
"","Coconino","85","G.E. 2010","","","","","","","","","6,021","15,155"
"","","","","0","","","5,787","119","290","3,533","*","",""
"","","71","P.E. 2012","","","","","","","","","7,281","17,010"
"","","","","0","","","5,068","108","267","3,118","*","",""
"","","71","G.E. 2012","","","","","","","","","6,422","14,983"
"","","","","*","","","1,305","7","18","865","*","",""
"","Gila","39","G.E. 2010","","","","","","","","","902","3,097"
"","","","","0","","","1,030","5","15","643","*","",""
"","","39","P.E. 2012","","","","","","","","","699","2,392"
"","","","","0","","","993","5","14","615","*","",""
"","","39","G.E. 2012","","","","","","","","","674","2,301"
"","","","","*","","","649","2","10","629","*","",""
"","Graham","18","G.E. 2010","","","","","","","","","469","1,759"
"","","","","0","","","1,112","3","26","1,440","*","",""
"","","22","P.E. 2012","","","","","","","","","1,070","3,651"
